GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
Lineups,-201567-1628386-1629012-1629636-1630171-,K. Love - J. Allen - C. Sexton - D. Garland - I. Okoro,1610612739,CLE,7,1,6,0.143,84.90166666666667,72,156,0.462,15,46,0.326,27,35,0.771,23,66,89,38,27.0,11,4,7,23,35,186,9.0,542,2861,14594,8607,114,121,116,6821,207,172,6150,134,130,4562,76,106,98,142,14714,163,382,14623,14616,102,126,805
Lineups,-201572-201950-203114-1626192-1628978-,B. Lopez - J. Holiday - K. Middleton - P. Connaughton - D. DiVincenzo,1610612749,MIL,20,14,6,0.7,84.54833333333333,81,170,0.476,22,58,0.379,37,43,0.86,24,62,86,46,18.0,12,9,9,27,37,221,2.0,46,31,14594,5226,115,102,101,6582,123,121,4858,79,88,3769,69,121,106,111,14625,135,107,14704,14663,92,99,3758
Lineups,-203501-204001-1626196-1627827-1629029-,T. Hardaway Jr. - K. Porzingis - J. Richardson - D. Finney-Smith - L. Doncic,1610612742,DAL,18,10,8,0.556,82.845,68,152,0.447,18,65,0.277,38,44,0.864,19,53,72,35,15.0,7,12,10,32,38,192,-42.0,58,80,14735,6011,116,125,120,7138,152,105,6479,73,81,3759,100,145,132,169,14561,312,67,14723,14706,85,121,14805
Lineups,-1626179-1628970-1628984-1628998-1629023-,T. Rozier - M. Bridges - D. Graham - C. Martin - P. Washington,1610612766,CHA,13,5,8,0.385,82.45,89,164,0.543,42,80,0.525,18,23,0.783,16,48,64,73,16.0,10,10,6,31,23,238,40.0,134,370,14735,7806,117,88,105,3974,50,73,2372,261,256,4489,134,163,158,58,14583,189,93,14557,14697,208,88,43
Lineups,-101108-203109-1628969-1629028-1629661-,C. Paul - J. Crowder - M. Bridges - D. Ayton - C. Johnson,1610612756,PHX,12,6,6,0.5,82.4,66,141,0.468,28,66,0.424,34,39,0.872,13,72,85,44,26.0,12,6,7,33,35,194,40.0,172,254,14594,6055,118,129,131,6743,90,102,4317,89,109,3742,187,93,108,116,14705,135,200,14623,14710,102,119,43
Lineups,-201145-201599-201935-202681-203925-,J. Green - D. Jordan - J. Harden - K. Irving - J. Harris,1610612751,BKN,12,9,3,0.75,81.07,78,146,0.534,13,46,0.283,32,41,0.78,10,50,60,41,17.0,9,6,3,28,31,201,-24.0,172,100,13478,4974,119,105,129,4083,257,172,6462,101,98,4494,269,159,169,126,14603,215,200,13867,14671,120,113,14740
Lineups,-201571-201572-203114-203507-1628978-,D. Augustin - B. Lopez - K. Middleton - G. Antetokounmpo - D. DiVincenzo,1610612749,MIL,16,12,4,0.75,80.66666666666667,83,157,0.529,24,61,0.393,38,51,0.745,16,77,93,49,19.0,14,11,9,26,38,228,64.0,81,46,14165,4974,120,99,115,4188,116,114,4783,73,63,5155,134,81,88,101,14640,106,76,14704,14655,85,96,20
Lineups,-202324-203903-204060-1626220-1628378-,D. Favors - J. Clarkson - J. Ingles - R. O'Neale - D. Mitchell,1610612762,UTA,34,23,11,0.676,80.13333333333334,64,153,0.418,18,65,0.277,38,42,0.905,25,54,79,36,22.0,8,8,13,39,25,184,-24.0,11,9,14792,5253,121,140,118,7873,152,105,6479,73,93,3546,64,139,119,159,14678,256,134,14750,14742,180,128,14740
Lineups,-2730-202699-1627788-1629003-1629680-,D. Howard - T. Harris - F. Korkmaz - S. Milton - M. Thybulle,1610612755,PHI,21,16,5,0.762,80.03333333333333,65,147,0.442,13,31,0.419,31,44,0.705,24,64,88,34,27.0,12,14,17,39,40,174,20.0,41,20,14449,4972,122,136,127,7340,257,307,4335,105,81,5332,69,114,100,176,14714,135,51,14782,14742,79,138,155
Lineups,-201188-202693-203471-203484-1628398-,M. Gasol - M. Morris - D. Schroder - K. Caldwell-Pope - K. Kuzma,1610612747,LAL,6,4,2,0.667,79.88333333333334,59,131,0.45,16,51,0.314,15,23,0.652,6,67,73,44,38.0,14,6,9,25,24,149,-23.0,715,534,11786,5255,123,157,146,7091,179,147,6188,354,256,5872,554,101,131,116,14764,106,200,14704,14641,195,169,14732
